name,state,district
Ranchi University,Jharkhand,Ranchi
Sido Kanhu University,Jharkhand,Dumka
Vinoba Bhave University,Jharkhand,Hazaribagh
Bangalore University,Karnataka,Bangalore
Davangere University,Karnataka,Davangere
Gulbarga University,Karnataka,Gulbarga
Kannada University,Karnataka,Hampi
Karnatak University,Karnataka,Dharwad
Karnataka Samskrit University,Karnataka,Bangalore
Karnataka State Law University,Karnataka,Hubli
Karnataka State Open University,Karnataka,Mysore
Karnataka State Women's University,Karnataka,Bijapur
"Karnataka Veterinary, Animal and Fisheries Sciences University",Karnataka,Bidar
KSGH Music and Performing Arts University,Karnataka,Mysore
Kuvempu University,Karnataka,Shimoga
Mangalore University,Karnataka,Konaje
National Law School of India University,Karnataka,Bangalore
Rajiv Gandhi University of Health Sciences,Karnataka,Bangalore
Rani Channamma University,Karnataka,Belgaum
Tumkur University,Karnataka,Tumkur
"University of Agricultural Sciences, Bangalore",Karnataka,Bangalore
"University of Agricultural Sciences, Dharwad",Karnataka,Dharwad
University of Mysore,Karnataka,Mysore
Visvesvaraya Technological University,Karnataka,Belgaum
Vijayanagara Sri Krishnadevaraya University,Karnataka,Bellary
Calicut University,Kerala,Tenhipalam
Cochin University of Science and Technology,Kerala,Kalamassery
Kannur University,Kerala,Kannur
Kerala Agricultural University,Kerala,Thrissur
Kerala University of Fisheries and Ocean Studies,Kerala,Kochi
Kerala University of Health Sciences,Kerala,Thrissur
Kerala Veterinary and Animal Sciences University,Kerala,Wayanad
Mahatma Gandhi University,Kerala,Kottayam
National University of Advanced Legal Studies,Kerala,Kochi
Sree Sankaracharya University of Sanskrit,Kerala,Kalady
University of Kerala,Kerala,Thiruvananthapuram
Awdhesh Pratap Singh University,Madhya Pradesh,Rewa
Barkatullah University,Madhya Pradesh,Bhopal
Devi Ahilya University,Madhya Pradesh,Indore
Jawaharlal Nehru Agricultural University,Madhya Pradesh,Jabalpur
Jiwaji University,Madhya Pradesh,Gwalior
Madhya Pradesh Bhoj Open University,Madhya Pradesh,Bhopal
Maharishi Mahesh Yogi Vedic Vishwavidyalaya,Madhya Pradesh,Katni
Maharshi Panini Sanskrit University,Madhya Pradesh,Ujjain
Mahatma Gandhi Chitrakoot Gramoday University,Madhya Pradesh,Chitrakoot
Makhanlal Chaturvedi National University of Journalism,Madhya Pradesh,Bhopal
National Law Institute University,Madhya Pradesh,Bhopal
Rajiv Gandhi Technical University,Madhya Pradesh,Bhopal
Rani Durgavati University,Madhya Pradesh,Jabalpur
Madhya Pradesh Pashu-Chikitsa Vigyan Vishwavidyalaya,Madhya Pradesh,Jabalpur
Vikram University,Madhya Pradesh,Ujjain
Dr. Babasaheb Ambedkar Marathwada University,Maharashtra,Aurangabad
Dr. Babasaheb Ambedkar Technological University,Maharashtra,Lonere
Dr. Balasaheb Sawant Konkan Krishi Vidyapeeth,Maharashtra,Dapoli
Dr. Panjabrao Deshmukh Krishi Vidyapeeth,Maharashtra,Akola
Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya,Maharashtra,Nagpur
Maharashtra Animal and Fishery Sciences University,Maharashtra,Nagpur
Maharashtra University of Health Sciences,Maharashtra,Nashik
Mahatma Phule Krishi Vidyapeeth,Maharashtra,Rahuri
Marathwada Agricultural University,Maharashtra,Parbhani
North Maharashtra University,Maharashtra,Jalgaon
Rashtrasant Tukadoji Maharaj Nagpur University,Maharashtra,Nagpur
Sant Gadge Baba Amravati University,Maharashtra,Amravati
Shivaji University,Maharashtra,Kolhapur
Shreemati Nathibai Damodar Thackersey Women's University,Maharashtra,Mumbai
Solapur University,Maharashtra,Solapur
Swami Ramanand Teerth Marathwada University,Maharashtra,Nanded
University of Mumbai,Maharashtra,Mumbai
University of Pune,Maharashtra,Pune
Yashwantrao Chavan Maharashtra Open University,Maharashtra,Nashik
Berhampur University,Orissa,Berhampur
Biju Patnaik University of Technology,Orissa,Rourkela
Fakir Mohan University,Orissa,Balasore
"National Law University, Orissa",Orissa,Cuttack
North Orissa University,Orissa,Baripada
Orissa University of Agriculture and Technology,Orissa,Bhubaneswar
Ravenshaw University,Orissa,Cuttack
Sambalpur University,Orissa,Sambalpur
Shri Jagannath Sanskrit Vishvavidyalaya,Orissa,Puri
Utkal University,Orissa,Bhubaneswar
Utkal University of Culture,Orissa,Bhubaneswar
"Veer Surendra Sai University of Technology, Burla",Orissa,Sambalpur
Baba Farid University of Health Sciences,Punjab,Faridkot
Guru Angad Dev Veterinary and Animal Sciences University,Punjab,Ludhiana
Guru Nanak Dev University,Punjab,Amritsar
Punjab Agricultural University,Punjab,Ludhiana
Punjab Technical University,Punjab,Jalandhar
Punjabi University,Punjab,Patiala
Rajiv Gandhi National University of Law,Punjab,Patiala
Jagadguru Ramanadacharya Rajasthan Sanskrit University,Rajasthan,Jaipur
Jai Narain Vyas University,Rajasthan,Jodhpur
Maharaja Ganga Singh University,Rajasthan,Bikaner
Maharana Pratap University of Agriculture and Technology,Rajasthan,Udaipur
Maharshi Dayanand Saraswati University,Rajasthan,Ajmer
Mohanlal Sukhadia University,Rajasthan,Udaipur
"National Law University, Jodhpur",Rajasthan,Jodhpur
Rajasthan Agricultural University,Rajasthan,Bikaner
Rajasthan Ayurved University,Rajasthan,Jaipur
Rajasthan Technical University,Rajasthan,Kota
Rajasthan University of Health Sciences,Rajasthan,Jaipur
University of Kota,Rajasthan,Kota
University of Rajasthan,Rajasthan,Jaipur
Vardhaman Mahaveer Open University,Rajasthan,Kota
Alagappa University,Tamil Nadu,Karaikudi
"Anna University, Chennai",Tamil Nadu,Chennai
"Anna University of Technology, Chennai",Tamil Nadu,Chennai
"Anna University of Technology, Coimbatore",Tamil Nadu,Coimbatore
"Anna University of Technology, Madurai",Tamil Nadu,Madurai
"Anna University of Technology, Tiruchirappalli",Tamil Nadu,Tiruchirappalli
Anna University of Technology Tirunelveli,Tamil Nadu,Tirunelveli
Annamalai University,Tamil Nadu,Annamalai Nagar
Bharathiar University,Tamil Nadu,Coimbatore
Bharathidasan University,Tamil Nadu,Tiruchirappalli
Madurai Kamaraj University,Tamil Nadu,Madurai
Manonmaniam Sundaranar University,Tamil Nadu,Tirunelveli
Mother Teresa Women's University,Tamil Nadu,Kodaikanal
Periyar University,Tamil Nadu,Salem
Tamil University,Tamil Nadu,Thanjavur
Tamil Nadu Agricultural University,Tamil Nadu,Coimbatore
Tamil Nadu Dr. Ambedkar Law University,Tamil Nadu,Chennai
Tamil Nadu Dr. M.G.R. Medical University,Tamil Nadu,Chennai
Tamil Nadu Open University,Tamil Nadu,Chennai
Tamil Nadu Physical Education and Sports University,Tamil Nadu,Chennai
Tamil Nadu Teacher Education University,Tamil Nadu,Chennai
Tamil Nadu Veterinary and Animal Sciences University,Tamil Nadu,Chennai
Thiruvalluvar University,Tamil Nadu,Vellore
University of Madras,Tamil Nadu,Chennai
Bundelkhand University,Uttar Pradesh,Jhansi
Chandra Shekhar Azad University of Agriculture and Technology,Uttar Pradesh,Kanpur
Chaudhary Charan Singh University,Uttar Pradesh,Meerut
Chhatrapati Shahuji Maharaj Medical University,Uttar Pradesh,Lucknow
Chhatrapati Shahu Ji Maharaj University,Uttar Pradesh,Kanpur
Deen Dayal Upadhyay Gorakhpur University,Uttar Pradesh,Gorakhpur
Dr. B. R. Ambedkar University,Uttar Pradesh,Agra
Dr. Ram Manohar Lohia Avadh University,Uttar Pradesh,Faizabad
Dr. Ram Manohar Lohia National Law University,Uttar Pradesh,Lucknow
Dr. Shakuntala Misra Rehabilitation University,Uttar Pradesh,Lucknow
Gautam Buddha University,Uttar Pradesh,Greater Noida
Gautam Buddh Technical University,Uttar Pradesh,Lucknow
M. J. P. Rohilkhand University,Uttar Pradesh,Bareilly
Mahamaya Technical University,Uttar Pradesh,Noida
Mahatma Gandhi Kashi Vidyapeeth,Uttar Pradesh,Varanasi
"Manyavar Sri Kanshi Ram Ji Urdu, Arabi~Farsi University",Uttar Pradesh,Lucknow
Narendra Dev University of Agriculture and Technology,Uttar Pradesh,Faizabad
Sampurnanand Sanskrit University,Uttar Pradesh,Varanasi
Sardar Vallabhbhai Patel University of Agriculture and Technology,Uttar Pradesh,Meerut
University of Lucknow,Uttar Pradesh,Lucknow
Uttar Pradesh King George's University of Dental Sciences,Uttar Pradesh,Lucknow
Uttar Pradesh Rajarshi Tandon Open University,Uttar Pradesh,Allahabad
Veer Bahadur Singh Purvanchal University,Uttar Pradesh,Jaunpur
Doon University,Uttarakhand,Dehradun
G. B. Pant University of Agriculture and Technology,Uttarakhand,Pantnagar
Kumaun University,Uttarakhand,Nainital
Uttarakhand Open University,Uttarakhand,Haldwani
Uttarakhand Technical University,Uttarakhand,Dehradun
Uttaranchal Sanskrit University,Uttarakhand,Haridwar
Aliah University,West Bengal,Kolkata
"Bengal Engineering and Science University, Shibpur",West Bengal,Shibpur
Bidhan Chandra Krishi Viswavidyalaya,West Bengal,Haringhata
